ID,ID LAB,PR LISTA,PRODUCTO,PRINCIPIO ACTIVO,ACCION TERAPEUTICA,DESCRIPCION ADICIONAL,Link institucional,BASE,ALTURA,PROFUNDIDAD,PESO,PACK,CAJA MADRE,CATEGORIA,SEGMENTO,SEGMENTO SECUNDARIO,CONCEPTO,LABORATORIO,CODIGO DE BARRAS,C3 REPO,BM REPO,DTO REPO,FECHA DESDE REPO,FECHA HASTA REPO
1700009,," $  12,668.70 ",.APLONAL INY. 5% X 30 ML. (DISC),Flunixin base (como meglumina) 50 mg.,"Analgésico, antipirético, antiendotóxico y antiinflamatorio no esteroide",,https://www.koniglab.com/producto/aplonal-5/,3.5,8.8,35,64,0,0,CLINICO,ANTIINFLAMATORIO,,INYECTABLE,KONIG S.A.,7.791432020126E12,3,0,0,,
265002,," $  11,269.30 ",12 P 15 NORT,,,,,0,0,0,0,0,0,CLINICO,ANTIINFLAMATORIO,,INYECTABLE,NERVION,,5,0,0,,
31010,," $  14,600.00 ",A OTRA PARTE CONC. X 1 LITRO,Esencias Aromáticas,Repelente para Perros y Gatos.,,https://www.cynthilab.com.ar/productos.php?#aotraparte,11.1,18.5,6.7,1.046,0,12,HIGIENE Y BELLEZA,ANTISEPTICO,,LIQUIDO,CYNTHILAB,7.795013000019E12,5,0,0,,
310140,," $  11,200.00 ",A OTRA PARTE CONC. X 600 ML.,Esencias Aromáticas,Repelente para Perros y Gatos.,,https://www.cynthilab.com.ar/productos.php?#aotraparte,6,27,5.8,680,0,12,HIGIENE Y BELLEZA,ANTISEPTICO,,LIQUIDO,CYNTHILAB,7.795013000187E12,5,0,0,,
310130,," $  16,700.00 ",A OTRA PARTE GEL X 425 GR.,Esencias Aromáticas,Repelente para Perros y Gatos.,,https://www.cynthilab.com.ar/productos.php?#aotraparte,9.5,23.2,5,498,0,24,HIGIENE Y BELLEZA,ANTISEPTICO,,GEL,CYNTHILAB,7.795013000347E12,5,0,0,,
31025,," $  17,900.00 ",A OTRA PARTE GRANUL. X 600 GR,Esencias Aromáticas,Repelente para Perros y Gatos.,,https://www.cynthilab.com.ar/productos.php?#aotraparte,0,15.4,0,682,0,12,HIGIENE Y BELLEZA,ANTISEPTICO,,GRANULADO,CYNTHILAB,7.795013000033E12,5,0,0,,
31015,," $  13,300.00 ",A OTRA PARTE PULVER. X 1 LITRO,Esencias Aromáticas,Repelente para Perros y Gatos.,,https://www.cynthilab.com.ar/productos.php?#aotraparte,10,33.3,6.5,1.068,0,12,HIGIENE Y BELLEZA,ANTISEPTICO,,SPRAY,CYNTHILAB,7.79501300004E12,5,0,0,,
31020,," $  64,200.00 ",A OTRA PARTE X 5 LITROS,Esencias Aromáticas,Repelente para Perros y Gatos.,,https://www.cynthilab.com.ar/productos.php?#aotraparte,0,0,0,0,0,3,HIGIENE Y BELLEZA,ANTISEPTICO,,LIQUIDO,CYNTHILAB,7.795013000026E12,3,0,0,,
31028,," $  18,100.00 ",A VOLAR PALOMAS PULVER. X 200 ML,Aceites Esenciales Aromáticos,Repelente para Palomas y Murciélagos.,,https://www.cynthilab.com.ar/productos.php?#avolar,0,0,0,0,0,15,HIGIENE Y BELLEZA,ANTISEPTICO,,SPRAY,CYNTHILAB,7.79501300046E12,5,0,0,,
31029,," $  39,500.00 ",A VOLAR PALOMAS PULVER. X 500 ML,Aceites Esenciales Aromáticos,Repelente para Palomas y Murciélagos.,,https://www.cynthilab.com.ar/productos.php?#avolar,10.5,25.6,5.6,488,0,24,HIGIENE Y BELLEZA,ANTISEPTICO,,SPRAY,CYNTHILAB,7.795013000149E12,5,0,0,,
31030,," $  55,800.00 ",A VOLAR PALOMAS PULVER. X 750 ML,Aceites Esenciales Aromáticos,Repelente para Palomas y Murciélagos.,,https://www.cynthilab.com.ar/productos.php?#avolar,0,0,0,0,0,12,HIGIENE Y BELLEZA,ANTISEPTICO,,SPRAY,CYNTHILAB,7.795013000057E12,5,0,0,,
31035,," $  277,000.00 ",A VOLAR PALOMAS X 4 LITROS,Aceites Esenciales Aromáticos,Repelente para Palomas y Murciélagos.,,https://www.cynthilab.com.ar/productos.php?#avolar,0,0,0,0,0,3,HIGIENE Y BELLEZA,ANTISEPTICO,,LIQUIDO,CYNTHILAB,7.795013000125E12,3,0,0,,
31102,," $  103,000.00 ",A VOLAR PLANTAS REPEL. AVES X 2 LT.,Aceites Esenciales Aromáticos,Repelente para Palomas y Aves en general,,https://www.cynthilab.com.ar/productos.php?#avolarplantas,0,0,0,0,0,6,HIGIENE Y BELLEZA,ANTISEPTICO,,LIQUIDO,CYNTHILAB,7.795013000491E12,3,0,0,,
31103,," $  198,500.00 ",A VOLAR PLANTAS REPEL. AVES X 4 LT.,Aceites Esenciales Aromáticos,Repelente para Palomas y Aves en general,,https://www.cynthilab.com.ar/productos.php?#avolarplantas,0,0,0,0,0,3,HIGIENE Y BELLEZA,ANTISEPTICO,,LIQUIDO,CYNTHILAB,7.795013000507E12,3,0,0,,
31129,," $  29,200.00 ",A VOLAR PLANTAS REPEL. AVES X 500 ML.,Aceites Esenciales Aromáticos,Repelente para Palomas y Aves en general,,https://www.cynthilab.com.ar/productos.php?#avolarplantas,0,0,0,0,0,12,HIGIENE Y BELLEZA,ANTISEPTICO,,LIQUIDO,CYNTHILAB,7.795013000477E12,5,0,0,,
265001,," $  18,635.50 ",A.T.P. X 50 ML,,,,,0,0,0,0,0,0,CLINICO,,,INYECTABLE,NERVION,0.0,5,0,0,,
148010,," $  3,360.00 ",ABENTAL X 10 COMP,Fltaliksulftiazol 500 mg. Dihidroestreptomicina 50 mg. Carb activado 200 mg. Simeticona 25 mg. Vit.K3.,Antidiarreico intestinal.,,http://www.laboratorioslaser.com/abental.html,0,0,0,0,0,0,SIN CATEGORIA,,,COMPRIMIDO,LASER,0.0,10,0,0,,
120001,," $  6,889.00 ",ACEDAN GOTAS X 10 ML,Acepromazina maleato 10 mg/ml.,Tranquilizante neuroléptico.,,http://holliday-scott.com/ar/producto/anestsicos-analptico-tranquilizantes/acedan-gotas,3.5,8.5,3.5,24,0,540,CLINICO,ANESTESICO,,GOTAS,HOLLIDAY,7.798042360031E12,10,0,0,,
120002,," $  18,344.00 ",ACEDAN INYECTABLE X 50 ML,Acepromazina maleato 10 mg/ml.,Tranquilizante neuroléptico.,,http://holliday-scott.com/ar/producto/anestsicos-analptico-tranquilizantes/acedan-inyectable,4.4,10,4.4,114,0,240,CLINICO,ANESTESICO,,INYECTABLE,HOLLIDAY,7.798042360017E12,3,0,0,,
240366,," $  18,713.80 ",ACEDERM SPRAY X 20 ML.,Hidrocortisona aceponato.,Corticiode. Calma el prurito.,,http://brouwer.com.ar/productos/acederm/,6,14,3.7,52,0,50,CLINICO,DERMICO,,SPRAY,BROUWER,7.797600002925E12,6,0,0,,
80010,,"$ 5,138.00",ACETAZINE GOTAS X 10 ML,Acepromacina,"Tranquilizante, ataráxico.",,,0,0,0,0,0,0,CLINICO,ANESTESICO,,GOTAS,ELMER,0.0,10,0,0,,
80030,," $  5,345.00 ",ACETAZINE X 10 COMP,Acepromacina 10 mg.,"Tranquilizante, ataráxico.",,,0,0,0,0,0,0,CLINICO,ANESTESICO,,COMPRIMIDO,ELMER,0.0,10,0,0,,
325031,," $  10,728.00 ",ACRAL LICK X 50 GR.,"Rifampicina, Hidrocortisona","Pomada para el control del lamido obsesivo en caninos. granuloma Acral por lamido, psicodermatosis, automutilación.",,,4.6,16,3,60,0,110,HIGIENE Y BELLEZA,,,POMO,VETSER,8.18387023983E11,0,0,0,,
149013,," $  53,000.00 ",ACS INY. 16 % 5 VIALES X 5 CC.,"Sulfato de Condrotin 16%, Sal sódica dihidrato, Timerosal","Antiartrítico - Antirreumático - Antiartrósico, Regenerador del cartílago articular - Antienzimático, Regeneración de Cartílago en Tratamiento de Shock.",,https://laboratoriofrances.com.ar/nuestros-productos/acs-inyectable/,0,0,0,0,0,0,ANTIARTROSICO,ANTIARTROSICO,,INYECTABLE,L.T.F.,0.0,0,0,0,,
149011,," $  42,000.00 ",ACS INY. 16 % X 25 ML.,"Sulfato de Condrotin 16%, Sal sódica dihidrato, Timerosal","Antiartrítico - Antirreumático - Antiartrósico, Regenerador del cartílago articular - Antienzimático, Regeneración de Cartílago en Tratamiento de Shock.",,https://laboratoriofrances.com.ar/nuestros-productos/acs-inyectable/,11.3,7.2,3.5,66,0,0,ANTIARTROSICO,ANTIARTROSICO,,INYECTABLE,L.T.F.,7.6625279992E10,5,0,0,,
262118,," $  29,918.00 ",ADAPTIL CALM DIFUSOR + REPUESTO 48 ML,Feromona,Ana?logo de la feromona de apaciguamiento ,,https://www.adaptil.com/ar/Productos/ADAPTIL-Calm-Difusor,0,0,0,0,0,0,,,,,Z-CEVA,,3,0,0,,
262119,," $  15,840.00 ",ADAPTIL CALM REPUESTO 48 ML,Feromona,Ana?logo de la feromona de apaciguamiento ,,https://www.adaptil.com/ar/Productos/ADAPTIL-Calm-Recambio,0,0,0,0,0,0,,,,,Z-CEVA,,3,0,0,,
